,Total Population,US Citizen,,,,,,,,,,,,,Total Population,
,,Total Citizen Population,Reported registered,,Reported not registered,,No response to registration 1,,Reported voted,,Reported did not vote,,No response to voting 2,,Reported registered,Reported voted
Ages,,,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Percent,Percent
..18 years,"3,920","3,719",951,25.6,"1,643",44.2,"1,124",30.2,465,12.5,"2,199",59.1,"1,054",28.4,24.3,11.9
..19 years,"3,712","3,489","1,204",34.5,"1,428",40.9,856,24.6,526,15.1,"2,228",63.9,734,21.0,32.4,14.2
..20 years,"4,262","3,998","1,719",43.0,"1,308",32.7,971,24.3,692,17.3,"2,422",60.6,884,22.1,40.3,16.2
..21 years,"4,220","3,913","1,699",43.4,"1,250",31.9,965,24.7,605,15.5,"2,424",61.9,884,22.6,40.3,14.3
..22 years,"4,442","4,181","2,015",48.2,"1,293",30.9,872,20.9,790,18.9,"2,549",61.0,841,20.1,45.4,17.8
..23 years,"4,324","3,935","1,907",48.5,"1,158",29.4,870,22.1,773,19.7,"2,325",59.1,837,21.3,44.1,17.9
..24 years,"4,779","4,305","2,116",49.1,"1,310",30.4,880,20.4,869,20.2,"2,633",61.2,803,18.6,44.3,18.2
..25 years,"4,493","4,042","2,069",51.2,"1,122",27.8,851,21.1,842,20.8,"2,422",59.9,778,19.2,46.0,18.7
..26 years,"4,195","3,814","2,050",53.8,"1,065",27.9,699,18.3,850,22.3,"2,311",60.6,653,17.1,48.9,20.3
..27 years,"4,139","3,557","1,812",51.0,"1,061",29.8,683,19.2,777,21.9,"2,167",60.9,613,17.2,43.8,18.8
..28 years,"4,294","3,719","2,020",54.3,920,24.7,779,20.9,982,26.4,"2,072",55.7,664,17.8,47.1,22.9
..29 years,"4,248","3,764","2,100",55.8,994,26.4,671,17.8,"1,049",27.9,"2,095",55.7,620,16.5,49.4,24.7
..30 years,"3,902","3,329","1,869",56.1,898,27.0,563,16.9,940,28.2,"1,868",56.1,521,15.6,47.9,24.1
..31 years,"4,068","3,548","2,116",59.6,819,23.1,614,17.3,"1,053",29.7,"1,948",54.9,548,15.4,52.0,25.9
..32 years,"4,341","3,801","2,325",61.2,888,23.4,588,15.5,"1,230",32.4,"2,052",54.0,518,13.6,53.5,28.3
..33 years,"4,310","3,739","2,264",60.5,771,20.6,705,18.9,"1,228",32.8,"1,846",49.4,665,17.8,52.5,28.5
..34 years,"4,331","3,748","2,289",61.1,815,21.8,644,17.2,"1,271",33.9,"1,893",50.5,585,15.6,52.9,29.3
..35 years,"4,230","3,551","2,203",62.0,740,20.8,609,17.1,"1,260",35.5,"1,706",48.0,585,16.5,52.1,29.8
..36 years,"3,887","3,252","2,066",63.5,649,20.0,537,16.5,"1,097",33.7,"1,658",51.0,497,15.3,53.1,28.2
..37 years,"4,058","3,509","2,349",66.9,590,16.8,570,16.3,"1,302",37.1,"1,644",46.8,563,16.1,57.9,32.1
..38 years,"3,759","3,279","2,183",66.6,616,18.8,480,14.6,"1,294",39.5,"1,542",47.0,442,13.5,58.1,34.4
..39 years,"3,605","3,157","2,102",66.6,565,17.9,490,15.5,"1,191",37.7,"1,508",47.8,458,14.5,58.3,33.1
..40 years,"3,947","3,476","2,167",62.3,671,19.3,638,18.3,"1,257",36.2,"1,620",46.6,599,17.2,54.9,31.8
..41 years,"3,869","3,362","2,151",64.0,654,19.5,557,16.6,"1,317",39.2,"1,538",45.7,507,15.1,55.6,34.0
..42 years,"3,759","3,232","2,101",65.0,579,17.9,551,17.1,"1,209",37.4,"1,512",46.8,511,15.8,55.9,32.2
..43 years,"4,229","3,740","2,449",65.5,606,16.2,686,18.3,"1,488",39.8,"1,577",42.2,676,18.1,57.9,35.2
..44 years,"4,222","3,777","2,503",66.3,617,16.3,657,17.4,"1,570",41.6,"1,579",41.8,628,16.6,59.3,37.2
..45 years,"4,102","3,631","2,397",66.0,608,16.7,627,17.3,"1,550",42.7,"1,523",41.9,559,15.4,58.4,37.8
..46 years,"4,028","3,577","2,422",67.7,587,16.4,568,15.9,"1,491",41.7,"1,515",42.3,572,16.0,60.1,37.0
..47 years,"4,226","3,716","2,520",67.8,620,16.7,576,15.5,"1,580",42.5,"1,583",42.6,553,14.9,59.6,37.4
..48 years,"3,965","3,552","2,394",67.4,568,16.0,590,16.6,"1,591",44.8,"1,397",39.3,563,15.9,60.4,40.1
..49 years,"4,121","3,736","2,499",66.9,650,17.4,586,15.7,"1,593",42.6,"1,575",42.1,569,15.2,60.6,38.6
..50 years,"4,559","4,140","2,759",66.6,634,15.3,748,18.1,"1,764",42.6,"1,652",39.9,724,17.5,60.5,38.7
..51 years,"4,432","4,063","2,777",68.3,647,15.9,639,15.7,"1,874",46.1,"1,564",38.5,625,15.4,62.6,42.3
..52 years,"4,320","3,966","2,780",70.1,552,13.9,635,16.0,"1,901",47.9,"1,443",36.4,622,15.7,64.4,44.0
..53 years,"4,481","4,136","2,831",68.5,533,12.9,771,18.7,"1,972",47.7,"1,413",34.2,751,18.2,63.2,44.0
..54 years,"4,468","4,212","3,045",72.3,573,13.6,595,14.1,"2,207",52.4,"1,445",34.3,559,13.3,68.1,49.4
..55 years,"4,354","4,115","2,987",72.6,526,12.8,603,14.7,"2,111",51.3,"1,400",34.0,605,14.7,68.6,48.5
..56 years,"4,219","3,994","2,775",69.5,642,16.1,578,14.5,"1,903",47.6,"1,536",38.5,556,13.9,65.8,45.1
..57 years,"4,257","4,057","2,853",70.3,589,14.5,616,15.2,"2,056",50.7,"1,396",34.4,606,14.9,67.0,48.3
..58 years,"4,359","4,139","2,904",70.2,627,15.2,608,14.7,"2,150",51.9,"1,389",33.6,600,14.5,66.6,49.3
..59 years,"4,163","3,928","2,883",73.4,554,14.1,491,12.5,"2,149",54.7,"1,291",32.9,488,12.4,69.3,51.6
..60 years,"4,136","3,941","2,818",71.5,556,14.1,567,14.4,"2,168",55.0,"1,206",30.6,567,14.4,68.1,52.4
..61 years,"3,959","3,786","2,828",74.7,514,13.6,444,11.7,"2,161",57.1,"1,193",31.5,432,11.4,71.4,54.6
..62 years,"3,556","3,439","2,601",75.6,389,11.3,449,13.1,"1,975",57.4,"1,038",30.2,427,12.4,73.1,55.5
..63 years,"3,567","3,385","2,560",75.6,357,10.5,468,13.8,"2,010",59.4,926,27.4,450,13.3,71.8,56.3
..64 years,"3,499","3,366","2,474",73.5,465,13.8,426,12.7,"1,905",56.6,"1,030",30.6,430,12.8,70.7,54.4
..65 years,"3,462","3,283","2,524",76.9,345,10.5,414,12.6,"1,934",58.9,929,28.3,421,12.8,72.9,55.9
..66 years,"3,267","3,165","2,378",75.2,385,12.2,402,12.7,"1,915",60.5,840,26.5,410,13.0,72.8,58.6
..67 years,"3,363","3,265","2,450",75.0,366,11.2,449,13.8,"1,978",60.6,839,25.7,449,13.7,72.9,58.8
..68 years,"2,882","2,788","2,159",77.5,283,10.2,345,12.4,"1,748",62.7,710,25.5,330,11.8,74.9,60.7
..69 years,"2,544","2,446","1,921",78.5,233,9.5,292,12.0,"1,509",61.7,659,27.0,278,11.3,75.5,59.3
..70 years,"2,362","2,295","1,674",72.9,281,12.2,340,14.8,"1,353",58.9,627,27.3,316,13.8,70.9,57.3
..71 years,"2,434","2,334","1,830",78.4,225,9.6,279,12.0,"1,480",63.4,582,24.9,273,11.7,75.2,60.8
..72 years,"2,324","2,277","1,684",74.0,246,10.8,346,15.2,"1,367",60.0,578,25.4,331,14.6,72.5,58.8
..73 years,"1,925","1,880","1,461",77.7,176,9.4,243,12.9,"1,197",63.7,440,23.4,243,12.9,75.9,62.2
..74 years,"2,045","1,984","1,531",77.2,170,8.6,283,14.3,"1,257",63.4,451,22.8,275,13.9,74.8,61.5
..75 years,"1,858","1,800","1,403",78.0,162,9.0,235,13.0,"1,105",61.4,485,27.0,210,11.7,75.5,59.5
..76 years,"1,589","1,550","1,171",75.5,160,10.3,220,14.2,947,61.1,377,24.3,226,14.6,73.7,59.6
..77 years,"1,604","1,548","1,125",72.7,212,13.7,211,13.6,932,60.2,422,27.3,194,12.5,70.2,58.1
..78 years,"1,370","1,326","1,004",75.7,140,10.6,182,13.7,811,61.1,335,25.3,180,13.6,73.3,59.2
..79 years,"1,313","1,277",995,77.9,106,8.3,176,13.8,834,65.3,273,21.3,171,13.4,75.8,63.5
..80-84 years,"5,664","5,501","4,110",74.7,619,11.3,772,14.0,"3,200",58.2,"1,562",28.4,739,13.4,72.6,56.5
..85 years and over,"5,551","5,406","3,841",71.0,772,14.3,793,14.7,"2,643",48.9,"2,072",38.3,692,12.8,69.2,47.6